transliterated,reference,distance,features,address
aṣ̌əm,aṣ̌əm,0,[],"[{'id': 'Y0.2AV', 'index': 0}]"
vōhū,vohū,1,"[{'type': 'replace', 'from': 'ō', 'to': 'o', 'str': 'o for ō', 'is_documented': True, 'description': 'Lengthened ō for o, minor orthographic variation.'}]","[{'id': 'Y0.2AV', 'index': 1}]"
aṣ̌əm,aṣ̌əm,0,[],"[{'id': 'Y0.2AV', 'index': 2}, {'id': 'Y0.5AV', 'index': 0}, {'id': 'Y0.5AV', 'index': 1}]"
vōhū,vohū,1,"[{'type': 'replace', 'from': 'ō', 'to': 'o', 'str': 'o for ō', 'is_documented': True, 'description': 'Lengthened ō for o, minor orthographic variation.'}]","[{'id': 'Y0.5AV', 'index': 2}]"
frauuarānē,frauuarānē,0,[],"[{'id': 'Y0.5AV', 'index': 3}, {'id': 'Y0.8Frauuarane', 'index': 0}]"
mazdaiiasnō,mazdaiiasnō,0,[],"[{'id': 'Y0.8Frauuarane', 'index': 1}, {'id': 'Y0.8Frauuarane', 'index': 2}]"
zaraϑuštriš,zaraϑuštriš,0,[],"[{'id': 'Y0.8Frauuarane', 'index': 3}]"
vīdaēuuō,vīdaēuuō,0,[],"[{'id': 'Y0.8Frauuarane', 'index': 4}]"
ahurahet̰kaešō,ahurat̰kaēšō,2,"[{'type': 'insert', 'to': 'h', 'str': 'h inserted', 'is_documented': True, 'description': ""The inverse of the loss of 'h' (i.e., 'h' being inserted) occurs, leading to 'misunderstandings'""}, {'type': 'insert', 'to': 'e', 'str': 'e inserted', 'is_documented': True, 'description': ""In Indian manuscripts, anaptyxis (vowel insertion) is very frequent, especially in consonantal clusters involving sonorants (m, n, r). The usual anaptyctic vowel is a. Examples include sar for sr, man for mn, xaš for xš. Less commonly, ə or i can be inserted in hr clusters. This is influenced by Gujarati's tendency to avoid complex consonant clusters and prefer open syllables.In Iranian manuscripts, syncope (vowel deletion) is frequent, particularly of short vowels in the first syllables of polysyllabic words. This is attributed to the 'allegro' (fast) pronunciation in regions like Yazd. Common positions for syncope include before r (e.g., srəδanąmca for sarəδanąmca), before semivowels (ii, uu), and after h. i deletion is part of this phenomenon.""}, {'type': 'replace', 'from': 'a', 'to': 'aē', 'str': 'aē for a', 'is_documented': False, 'description': None}, {'type': 'insert', 'to': 'e', 'str': 'e inserted', 'is_documented': True, 'description': ""In Indian manuscripts, anaptyxis (vowel insertion) is very frequent, especially in consonantal clusters involving sonorants (m, n, r). The usual anaptyctic vowel is a. Examples include sar for sr, man for mn, xaš for xš. Less commonly, ə or i can be inserted in hr clusters. This is influenced by Gujarati's tendency to avoid complex consonant clusters and prefer open syllables.In Iranian manuscripts, syncope (vowel deletion) is frequent, particularly of short vowels in the first syllables of polysyllabic words. This is attributed to the 'allegro' (fast) pronunciation in regions like Yazd. Common positions for syncope include before r (e.g., srəδanąmca for sarəδanąmca), before semivowels (ii, uu), and after h. i deletion is part of this phenomenon.""}]","[{'id': 'Y0.8Frauuarane', 'index': 5}]"
hāuuanə̄ē,hāuuanə̄e,1,"[{'type': 'replace', 'from': 'ē', 'to': 'e', 'str': 'e for ē', 'is_documented': True, 'description': 'While the dominant trend noted is e for ē (shortening) in Indian manuscripts due to recitation habits, especially for final ē'}]","[{'id': 'Y0.8Frauuarane', 'index': 7}, {'id': 'Y0.8RatuFra', 'index': 0}]"
