transliterated,reference,distance,features,address
staomi,staōmi,1,"[{'type': 'replace', 'from': 'a', 'to': 'aō', 'str': 'aō for a', 'is_documented': True, 'description': 'In Indian manuscripts, a for aō is a form of monophthongization, though it is relatively less frequent compared to u for aō'}, {'type': 'insert', 'to': 'o', 'str': 'o inserted', 'is_documented': True, 'description': ""In Indian manuscripts, anaptyxis (vowel insertion) is very frequent, especially in consonantal clusters involving sonorants (m, n, r). The usual anaptyctic vowel is a. Examples include sar for sr, man for mn, xaš for xš. Less commonly, ə or i can be inserted in hr clusters. This is influenced by Gujarati's tendency to avoid complex consonant clusters and prefer open syllables.In Iranian manuscripts, syncope (vowel deletion) is frequent, particularly of short vowels in the first syllables of polysyllabic words. This is attributed to the 'allegro' (fast) pronunciation in regions like Yazd. Common positions for syncope include before r (e.g., srəδanąmca for sarəδanąmca), before semivowels (ii, uu), and after h. i deletion is part of this phenomenon.""}]","[{'id': 'Y0.13a', 'index': 0}]"
aṣ̌əm,aṣ̌əm,0,[],"[{'id': 'Y0.13a', 'index': 1}]"
aṣ̌əm,aṣ̌əm,0,[],"[{'id': 'Y0.13a', 'index': 2}, {'id': 'Y0.14AV', 'index': 0}]"
vohū,vohū,0,[],"[{'id': 'Y0.14AV', 'index': 1}]"
vahištəm,vahištəm,0,[],"[{'id': 'Y0.14AV', 'index': 2}, {'id': 'Y0.14AV', 'index': 3}]"
astī,astī,0,[],"[{'id': 'Y0.14AV', 'index': 4}]"
uštā,uštā,0,[],"[{'id': 'Y0.14AVM', 'index': 0}, {'id': 'Y0.14AVM', 'index': 1}]"
astī,astī,0,[],"[{'id': 'Y0.14AVM', 'index': 2}]"
uštā,uštā,0,[],"[{'id': 'Y0.14AVM', 'index': 3}]"
aɱāi,aɱāi,0,[],"[{'id': 'Y0.14AVM', 'index': 4}]"
hiiat̰,hiiat̰,0,[],"[{'id': 'Y0.14AVM', 'index': 5}, {'id': 'Y0.14AVF', 'index': 0}]"
aṣ̌āi,aṣ̌āi,0,[],"[{'id': 'Y0.14AVF', 'index': 1}]"
vahištāi,vahištāi,0,[],"[{'id': 'Y0.14AVF', 'index': 2}]"
aṣ̌əm,aṣ̌əm,0,[],"[{'id': 'Y0.14AVF', 'index': 3}]"
frauuarāne,frauuarāne,0,[],"[{'id': 'Y0.15Frauuarane', 'index': 0}]"
mazdaiiasnō,mazdaiiasnō,0,[],"[{'id': 'Y0.15Frauuarane', 'index': 1}]"
zaraϑuštriš,zaraϑuštriš,0,[],"[{'id': 'Y0.15Frauuarane', 'index': 2}]"
vīdaēuuō,vīdaēuuō,0,[],"[{'id': 'Y0.15Frauuarane', 'index': 3}]"
ahurat̰kaēšō,ahurat̰kaēšō,0,[],"[{'id': 'Y0.15Frauuarane', 'index': 4}]"
hāuuanə̄e,hāuuanə̄e,0,[],"[{'id': 'Y0.15Frauuarane', 'index': 5}, {'id': 'Y0.15RatuFra', 'index': 0}]"
aṣ̌aone,aṣ̌aōne,1,"[{'type': 'replace', 'from': 'a', 'to': 'aō', 'str': 'aō for a', 'is_documented': True, 'description': 'In Indian manuscripts, a for aō is a form of monophthongization, though it is relatively less frequent compared to u for aō'}, {'type': 'insert', 'to': 'o', 'str': 'o inserted', 'is_documented': True, 'description': ""In Indian manuscripts, anaptyxis (vowel insertion) is very frequent, especially in consonantal clusters involving sonorants (m, n, r). The usual anaptyctic vowel is a. Examples include sar for sr, man for mn, xaš for xš. Less commonly, ə or i can be inserted in hr clusters. This is influenced by Gujarati's tendency to avoid complex consonant clusters and prefer open syllables.In Iranian manuscripts, syncope (vowel deletion) is frequent, particularly of short vowels in the first syllables of polysyllabic words. This is attributed to the 'allegro' (fast) pronunciation in regions like Yazd. Common positions for syncope include before r (e.g., srəδanąmca for sarəδanąmca), before semivowels (ii, uu), and after h. i deletion is part of this phenomenon.""}]","[{'id': 'Y0.15RatuFra', 'index': 1}]"
aṣ̌ahe,aṣ̌ahe,0,[],"[{'id': 'Y0.15RatuFra', 'index': 2}]"
raϑβe,raϑβe,0,[],"[{'id': 'Y0.15RatuFra', 'index': 3}]"
ẏasnāica,yasnāica,1,"[{'type': 'replace', 'from': 'ẏ', 'to': 'y', 'str': 'y for ẏ', 'is_documented': True, 'description': 'Orthographic variation: ẏ used for y in Indian tradition.'}]","[{'id': 'Y0.15RatuFra', 'index': 4}]"
vaɱāica,vaɱāica,0,[],"[{'id': 'Y0.15RatuFra', 'index': 5}, {'id': 'Y0.15RatuFra', 'index': 6}]"
