transliterated,reference,distance,features,address
xšnaōϑra,xšnaōϑra,0,[],"[{'id': 'Y0.1Ext.a', 'index': 0}]"
ahurahe,ahurahe,0,[],"[{'id': 'Y0.1Ext.a', 'index': 1}]"
mazdā,mazdā,0,[],"[{'id': 'Y0.1Ext.a', 'index': 2}]"
aṣ̌əm,aṣ̌əm,0,[],"[{'id': 'Y0.1Ext.a', 'index': 3}, {'id': 'Y0.1ExtAV.a', 'index': 0}, {'id': 'Y0.1ExtAV.a', 'index': 1}]"
vohī,vohū,1,"[{'type': 'replace', 'from': 'ī', 'to': 'ū', 'str': 'ū for ī', 'is_documented': True, 'description': 'This is a prominent and widespread orthographic and phonological feature in Avestan manuscripts, particularly within the Iranian tradition'}]","[{'id': 'Y0.1ExtAV.a', 'index': 2}]"
yaϑā,yaϑā,0,[],"[{'id': 'Y0.1ExtAV.a', 'index': 3}, {'id': 'Y0.1ExtYAV.a', 'index': 0}]"
ahī,ahū,0,"[{'type': 'replace', 'from': 'ī', 'to': 'ū', 'str': 'ū for ī', 'is_documented': True, 'description': 'This is a prominent and widespread orthographic and phonological feature in Avestan manuscripts, particularly within the Iranian tradition'}]","[{'id': 'Y0.1ExtYAV.a', 'index': 1}]"
vairiiō,vairiiō,0,[],"[{'id': 'Y0.1ExtYAV.a', 'index': 2}, {'id': 'Y0.1ExtYAV.a', 'index': 3}]"
xšnaōϑra,xšnaōϑra,0,[],"[{'id': 'Y0.1ExtYAV.a', 'index': 4}, {'id': 'Y0.1Ext.b', 'index': 0}]"
ahurahe,ahurahe,0,[],"[{'id': 'Y0.1Ext.b', 'index': 1}, {'id': 'Y0.1Ext.b', 'index': 2}]"
mazdā,mazdā,0,[],"[{'id': 'Y0.1Ext.b', 'index': 3}]"
aṣ̌əm,aṣ̌əm,0,[],"[{'id': 'Y0.1Ext.b', 'index': 4}, {'id': 'Y0.1AV', 'index': 0}]"
vohī,vohū,1,"[{'type': 'replace', 'from': 'ī', 'to': 'ū', 'str': 'ū for ī', 'is_documented': True, 'description': 'This is a prominent and widespread orthographic and phonological feature in Avestan manuscripts, particularly within the Iranian tradition'}]","[{'id': 'Y0.1AV', 'index': 1}]"
astī,astī,0,[],"[{'id': 'Y0.1Ext.c', 'index': 1}]"
āϑraš,āϑriš,1,"[{'type': 'replace', 'from': 'a', 'to': 'i', 'str': 'i for a', 'is_documented': True, 'description': ""In Iranian manuscripts, the confusion of 'a' for 'i' occurs, especially before nasals or after 'r' (e.g., 'tną' for 'tą', 'ϑrətiia-' for 'ϑritiia-'). This is part of the general confusion of short vowels ('i', 'e', 'ə'). While Indian manuscripts show frequent 'i' for 'ə' and 'i' for 'e', a direct 'a' for 'i' is not highlighted as a distinct feature.""}]","[{'id': 'Y0.1Ext.c', 'index': 2}]"
mazdā,mazdā,0,[],"[{'id': 'Y0.1Ext.c', 'index': 3}]"
ahurahe,ahurahe,0,[],"[{'id': 'Y0.1Ext.c', 'index': 4}]"
hudā,hudā̊,1,"[{'type': 'replace', 'from': 'ā', 'to': 'ā̊', 'str': 'ā̊ for ā', 'is_documented': True, 'description': 'This is a well-documented orthographic feature in Iranian manuscripts, reflecting a tendency for the letter ā̊ to disappear by evolving into ā. This change is particularly prevalent in later Iranian copies from the 19th century, where ā replaces ā̊ in a high percentage of occurrences (over 75% in some manuscripts). Possible reasons suggested include Indian influence or erroneous transcription. In contrast, Indian manuscripts exhibit different behaviours for ā̊, such as its use for āu or its graphical representation as ā/ə in line-breaks, implying a pronunciation similar to /āo/ or /āe/'}]","[{'id': 'Y0.1Ext.c', 'index': 5}]"
mazišta,mazišta,0,[],"[{'id': 'Y0.1Ext.c', 'index': 6}]"
yəzeta,yazata,2,"[{'type': 'replace', 'from': 'ə', 'to': 'a', 'str': 'a for ə', 'is_documented': True, 'description': ""While ə is described as a 'shading of a' in Indian manuscripts, and Jackson notes a in Behdini can lean towards an 'inverted a' or 'close to e', this is more of a pronunciation tendency or a description of the vowel's quality rather than a common orthographic substitution in the way ə substitutes i or e""}, {'type': 'replace', 'from': 'e', 'to': 'a', 'str': 'a for e', 'is_documented': False, 'description': None}]","[{'id': 'Y0.1Ext.c', 'index': 7}]"
xšnaōϑra,xšnaōϑra,0,[],"[{'id': 'Y0.1Ext.c', 'index': 8}, {'id': 'Y0.1Ext.c', 'index': 9}]"
ahurahe,ahurahe,0,[],"[{'id': 'Y0.1Ext.c', 'index': 10}]"
mazdā,mazdā,0,[],"[{'id': 'Y0.1Ext.c', 'index': 11}]"
aṣ̌əm,aṣ̌əm,0,[],"[{'id': 'Y0.1Ext.c', 'index': 12}, {'id': 'Y0.2AV', 'index': 0}]"
vohī,vohū,1,"[{'type': 'replace', 'from': 'ī', 'to': 'ū', 'str': 'ū for ī', 'is_documented': True, 'description': 'This is a prominent and widespread orthographic and phonological feature in Avestan manuscripts, particularly within the Iranian tradition'}]","[{'id': 'Y0.2AV', 'index': 1}]"
frauuarāne,frauuarāne,0,[],"[{'id': 'Y0.2AV', 'index': 2}, {'id': 'Y0.3Frauuarane.a', 'index': 0}]"
āϑraō,āϑrō,1,"[{'type': 'replace', 'from': 'aō', 'to': 'ō', 'str': 'ō for aō', 'is_documented': True, 'description': 'aō for ō are also frequent in Iranian manuscripts, especially during the Zand period'}]","[{'id': 'Y0.3Frauuarane.a', 'index': 1}, {'id': 'Y0.3FireDed', 'index': 0}]"
ahurahe,ahurahe,0,[],"[{'id': 'Y0.3FireDed', 'index': 1}, {'id': 'Y0.3FireDed', 'index': 2}]"
mazdā,mazdā,0,[],"[{'id': 'Y0.3FireDed', 'index': 3}]"
puϑra,puϑra,0,[],"[{'id': 'Y0.3FireDed', 'index': 4}]"
tauua,tauua,0,[],"[{'id': 'Y0.3FireDed', 'index': 5}]"
āϑrš,ātarš,2,"[{'type': 'replace', 'from': 'ϑ', 'to': 't', 'str': 't for ϑ', 'is_documented': False, 'description': None}, {'type': 'delete', 'from': 'a', 'str': 'a deleted', 'is_documented': True, 'description': ""In Indian manuscripts, anaptyxis (vowel insertion) is very frequent, especially in consonantal clusters involving sonorants (m, n, r). The usual anaptyctic vowel is a. Examples include sar for sr, man for mn, xaš for xš. Less commonly, ə or i can be inserted in hr clusters. This is influenced by Gujarati's tendency to avoid complex consonant clusters and prefer open syllables.In Iranian manuscripts, syncope (vowel deletion) is frequent, particularly of short vowels in the first syllables of polysyllabic words. This is attributed to the 'allegro' (fast) pronunciation in regions like Yazd. Common positions for syncope include before r (e.g., srəδanąmca for sarəδanąmca), before semivowels (ii, uu), and after h. i deletion is part of this phenomenon.""}]","[{'id': 'Y0.3FireDed', 'index': 6}]"
puϑra,puϑra,0,[],"[{'id': 'Y0.3FireDed', 'index': 7}]"
ahurahe,ahurahe,0,[],"[{'id': 'Y0.3FireDed', 'index': 8}]"
mazdā,mazdā,0,[],"[{'id': 'Y0.3FireDed', 'index': 9}]"
xāšnōϑra,xšnaōϑra,1,"[{'type': 'insert', 'to': 'ā', 'str': 'ā inserted', 'is_documented': True, 'description': 'This refers to anaptyxis (vowel insertion). Anaptyxis is very frequent in Indian manuscripts, and the usual anaptyctic vowel is a, not specifically ā (long a)'}, {'type': 'replace', 'from': 'ō', 'to': 'aō', 'str': 'aō for ō', 'is_documented': True, 'description': 'The monophthongization of diphthongs aē and aō is frequent'}]","[{'id': 'Y0.3FireDed', 'index': 10}]"
tauua,tauua,0,[],"[{'id': 'Y0.3FireDed', 'index': 11}]"
āϑrš,ātarš,2,"[{'type': 'replace', 'from': 'ϑ', 'to': 't', 'str': 't for ϑ', 'is_documented': False, 'description': None}, {'type': 'delete', 'from': 'a', 'str': 'a deleted', 'is_documented': True, 'description': ""In Indian manuscripts, anaptyxis (vowel insertion) is very frequent, especially in consonantal clusters involving sonorants (m, n, r). The usual anaptyctic vowel is a. Examples include sar for sr, man for mn, xaš for xš. Less commonly, ə or i can be inserted in hr clusters. This is influenced by Gujarati's tendency to avoid complex consonant clusters and prefer open syllables.In Iranian manuscripts, syncope (vowel deletion) is frequent, particularly of short vowels in the first syllables of polysyllabic words. This is attributed to the 'allegro' (fast) pronunciation in regions like Yazd. Common positions for syncope include before r (e.g., srəδanąmca for sarəδanąmca), before semivowels (ii, uu), and after h. i deletion is part of this phenomenon.""}]","[{'id': 'Y0.3FireDed', 'index': 12}]"
puϑra,puϑra,0,[],"[{'id': 'Y0.3FireDed', 'index': 13}, {'id': 'Y0.3FireDed', 'index': 14}]"
ahurahe,ahurahe,0,[],"[{'id': 'Y0.3FireDed', 'index': 15}]"
mazdā,mazdā,0,[],"[{'id': 'Y0.3FireDed', 'index': 16}]"
xšnaōϑra,xšnaōϑra,0,[],"[{'id': 'Y0.3FireDed', 'index': 17}]"
yaϑā,yaϑā,0,[],"[{'id': 'Y0.3FireDed', 'index': 18}, {'id': 'Y0.3WazGr', 'index': 0}]"
ahī,ahū,0,"[{'type': 'replace', 'from': 'ī', 'to': 'ū', 'str': 'ū for ī', 'is_documented': True, 'description': 'This is a prominent and widespread orthographic and phonological feature in Avestan manuscripts, particularly within the Iranian tradition'}]","[{'id': 'Y0.3WazGr', 'index': 1}]"
