transliterated,reference,distance,features,address
aṣ̌əm,aṣ̌əm,0.0,[],"[{'id': 'Y0.1AV', 'index': 0}]"
vohī,vohū,1.0,"[{'type': 'replace', 'from': 'ī', 'to': 'ū', 'str': 'ū for ī', 'is_documented': True, 'description': 'This is a prominent and widespread orthographic and phonological feature in Avestan manuscripts, particularly within the Iranian tradition'}]","[{'id': 'Y0.1AV', 'index': 1}]"
aṣ̌əm,aṣ̌əm,0.0,[],"[{'id': 'Y0.1AV', 'index': 2}, {'id': 'Y0.2AV', 'index': 0}]"
vohī,vohū,1.0,"[{'type': 'replace', 'from': 'ī', 'to': 'ū', 'str': 'ū for ī', 'is_documented': True, 'description': 'This is a prominent and widespread orthographic and phonological feature in Avestan manuscripts, particularly within the Iranian tradition'}]","[{'id': 'Y0.2AV', 'index': 1}]"
frauuarāne,frauuarāne,0.0,[],"[{'id': 'Y0.2AV', 'index': 2}, {'id': 'Y0.3Frauuarane.a', 'index': 0}, {'id': 'Y0.3Frauuarane.a', 'index': 1}]"
āϑrō,āϑrō,0.0,[],"[{'id': 'Y0.3Frauuarane.a', 'index': 2}, {'id': 'Y0.3FireDed', 'index': 0}]"
ahurahe,ahurahe,0.0,[],"[{'id': 'Y0.3FireDed', 'index': 1}, {'id': 'Y0.3FireDed', 'index': 2}]"
mazdā̊,mazdā̊,0.0,[],"[{'id': 'Y0.3FireDed', 'index': 3}]"
puϑra,puϑra,0.0,[],"[{'id': 'Y0.3FireDed', 'index': 4}]"
tauua,tauua,0.0,[],"[{'id': 'Y0.3FireDed', 'index': 5}]"
āϑarš,ātarš,1.0,"[{'type': 'replace', 'from': 'ϑ', 'to': 't', 'str': 't for ϑ', 'is_documented': False, 'description': None}]","[{'id': 'Y0.3FireDed', 'index': 6}]"
puϑra,puϑra,0.0,[],"[{'id': 'Y0.3FireDed', 'index': 7}]"
ahurahe,ahurahe,0.0,[],"[{'id': 'Y0.3FireDed', 'index': 8}]"
mazdā̊,mazdā̊,0.0,[],"[{'id': 'Y0.3FireDed', 'index': 9}]"
xšnōϑra,xšnaōϑra,1.0,"[{'type': 'replace', 'from': 'ō', 'to': 'aō', 'str': 'aō for ō', 'is_documented': True, 'description': 'The monophthongization of diphthongs aē and aō is frequent'}]","[{'id': 'Y0.3FireDed', 'index': 10}]"
yasnāica,yasnāica,0.0,[],"[{'id': 'Y0.3FireDed', 'index': 11}]"
tauua,tauua,0.0,[],"[{'id': 'Y0.3FireDed', 'index': 12}, {'id': 'Y0.3FireDedF', 'index': 0}, {'id': 'Y0.3FireDedF', 'index': 1}]"
ātraš,ātarš,2.0,"[{'type': 'insert', 'to': 'r', 'str': 'r inserted', 'is_documented': False, 'description': None}, {'type': 'delete', 'from': 'r', 'str': 'r deleted', 'is_documented': False, 'description': None}]","[{'id': 'Y0.3FireDedF', 'index': 2}]"
puϑra,puϑra,0.0,[],"[{'id': 'Y0.3FireDedF', 'index': 3}]"
ahurahe,ahurahe,0.0,[],"[{'id': 'Y0.3FireDedF', 'index': 4}]"
mazdā̊,mazdā̊,0.0,[],"[{'id': 'Y0.3FireDedF', 'index': 5}, {'id': 'Y0.3FireDedF', 'index': 6}]"
xšnaōϑra,xšnaōϑra,0.0,[],"[{'id': 'Y0.3FireDedF', 'index': 7}]"
yasnāica,yasnāica,0.0,[],"[{'id': 'Y0.3FireDedF', 'index': 8}]"
yaϑā,yaϑā,0.0,[],"[{'id': 'Y0.3FireDedF', 'index': 9}, {'id': 'Y0.3WazGr', 'index': 0}]"
ahī,ahū,0.0,"[{'type': 'replace', 'from': 'ī', 'to': 'ū', 'str': 'ū for ī', 'is_documented': True, 'description': 'This is a prominent and widespread orthographic and phonological feature in Avestan manuscripts, particularly within the Iranian tradition'}]","[{'id': 'Y0.3WazGr', 'index': 1}]"
vairiiō,vairiiō,0.0,[],"[{'id': 'Y0.3WazGr', 'index': 2}]"
zaōtā,zaōtā,0.0,[],"[{'id': 'Y0.3WazGr', 'index': 3}]"
frāmē,frāmē,0.0,[],"[{'id': 'Y0.3WazGr', 'index': 4}]"
mrītē,mrūtē,1.0,"[{'type': 'replace', 'from': 'ī', 'to': 'ū', 'str': 'ū for ī', 'is_documented': True, 'description': 'This is a prominent and widespread orthographic and phonological feature in Avestan manuscripts, particularly within the Iranian tradition'}]","[{'id': 'Y0.3WazGr', 'index': 5}]"
aϑā,aϑā,0.0,[],"[{'id': 'Y0.3WazGr', 'index': 6}]"
ratuš,ratuš,0.0,[],"[{'id': 'Y0.3WazGr', 'index': 7}]"
aṣ̌āt̰,aṣ̌āt̰,0.0,[],"[{'id': 'Y0.3WazGr', 'index': 8}]"
cit̰,cit̰,0.0,[],"[{'id': 'Y0.3WazGr', 'index': 9}]"
