transliterated,reference,distance,features,address
aṣ̌əm,aṣ̌əm,0,[],"[{'id': 'Y0.1AV', 'index': 0}]"
vohī,vohū,1,"[{'type': 'replace', 'from': 'ī', 'to': 'ū', 'str': 'ū for ī', 'is_documented': True, 'description': 'This is a prominent and widespread orthographic and phonological feature in Avestan manuscripts, particularly within the Iranian tradition'}]","[{'id': 'Y0.1AV', 'index': 1}]"
aṣ̌əm,aṣ̌əm,0,[],"[{'id': 'Y0.1AV', 'index': 2}, {'id': 'Y0.2AV', 'index': 0}]"
vohī,vohū,1,"[{'type': 'replace', 'from': 'ī', 'to': 'ū', 'str': 'ū for ī', 'is_documented': True, 'description': 'This is a prominent and widespread orthographic and phonological feature in Avestan manuscripts, particularly within the Iranian tradition'}]","[{'id': 'Y0.2AV', 'index': 1}]"
frauuarāne,frauuarāne,0,[],"[{'id': 'Y0.3Frauuarane.a', 'index': 0}]"
mazdaiiasnō,mazdaiiasnō,0,[],"[{'id': 'Y0.3Frauuarane.a', 'index': 1}]"
zaraϑuštrəš,zaraϑuštriš,1,"[{'type': 'replace', 'from': 'ə', 'to': 'i', 'str': 'i for ə', 'is_documented': True, 'description': 'ə used for i, especially in Iranian manuscripts.'}]","[{'id': 'Y0.3Frauuarane.a', 'index': 2}, {'id': 'Y0.3Frauuarane.a', 'index': 3}]"
vīdaēuuō,vīdaēuuō,0,[],"[{'id': 'Y0.3Frauuarane.a', 'index': 4}]"
ahurat̰kaēšō,ahurat̰kaēšō,0,[],"[{'id': 'Y0.3Frauuarane.a', 'index': 5}]"
hāuuanaēe,hāuuanə̄e,2,"[{'type': 'replace', 'from': 'aē', 'to': 'ə̄', 'str': 'ə̄ for aē', 'is_documented': True, 'description': ""In Iranian manuscripts, there is a tendency to close 'ə̄' into 'ī' or 'ē'. Specifically, 'ē' for 'ə̄' is frequent. The spelling 'ə̄' is noted as being in decline in final positions in Avestan manuscripts""}]","[{'id': 'Y0.3RatuFra', 'index': 0}]"
aṣ̌aōne,aṣ̌aōne,0,[],"[{'id': 'Y0.3RatuFra', 'index': 1}]"
aṣ̌ahe,aṣ̌ahe,0,[],"[{'id': 'Y0.3RatuFra', 'index': 2}]"
raϑβe,raϑβe,0,[],"[{'id': 'Y0.3RatuFra', 'index': 3}]"
yasnāica,yasnāica,0,[],"[{'id': 'Y0.3RatuFra', 'index': 4}]"
sāuuaŋhə̄e,sāuuaŋhə̄e,0,[],"[{'id': 'Y0.3RatuFra', 'index': 5}]"
vīsiiāica,vīsiiāica,0,[],"[{'id': 'Y0.3RatuFra', 'index': 6}, {'id': 'Y0.3RatuFra', 'index': 7}]"
aṣ̌aōne,aṣ̌aōne,0,[],"[{'id': 'Y0.3RatuFra', 'index': 8}]"
aṣ̌ahe,aṣ̌ahe,0,[],"[{'id': 'Y0.3RatuFra', 'index': 9}]"
raϑβe,raϑβe,0,[],"[{'id': 'Y0.3RatuFra', 'index': 10}]"
tauua,tauua,0,[],"[{'id': 'Y0.3FireDed', 'index': 0}]"
ātarš,ātarš,0,[],"[{'id': 'Y0.3FireDed', 'index': 1}, {'id': 'Y0.3FireDed', 'index': 2}]"
puϑra,puϑra,0,[],"[{'id': 'Y0.3FireDed', 'index': 3}]"
ahurahe,ahurahe,0,[],"[{'id': 'Y0.3FireDed', 'index': 4}]"
mazdā̊,mazdā̊,0,[],"[{'id': 'Y0.3FireDed', 'index': 5}]"
xšnaōϑra,xšnaōϑra,0,[],"[{'id': 'Y0.3FireDed', 'index': 6}, {'id': 'Y0.3FireDed', 'index': 7}]"
āϑrō,āϑrō,0,[],"[{'id': 'Y0.3FireDed', 'index': 8}, {'id': 'Y0.3FireDedF', 'index': 0}]"
