transliterated,reference,distance,features,address
xšnaōϑra,xšnaōϑra,0,[],"[{'id': 'Y0.1Ext.a', 'index': 0}]"
ahurahe,ahurahe,0,[],"[{'id': 'Y0.1Ext.a', 'index': 1}]"
mazdā̊,mazdā̊,0,[],"[{'id': 'Y0.1Ext.a', 'index': 2}]"
aṣ̌əm,aṣ̌əm,0,[],"[{'id': 'Y0.1Ext.a', 'index': 3}, {'id': 'Y0.1ExtAV.a', 'index': 0}]"
vohī,vohū,1,"[{'type': 'replace', 'from': 'ī', 'to': 'ū', 'str': 'ū for ī', 'is_documented': True, 'description': 'This is a prominent and widespread orthographic and phonological feature in Avestan manuscripts, particularly within the Iranian tradition'}]","[{'id': 'Y0.1ExtAV.a', 'index': 1}]"
yaϑā,yaϑā,0,[],"[{'id': 'Y0.1ExtYAV.a', 'index': 0}]"
ahī,ahū,0,"[{'type': 'replace', 'from': 'ī', 'to': 'ū', 'str': 'ū for ī', 'is_documented': True, 'description': 'This is a prominent and widespread orthographic and phonological feature in Avestan manuscripts, particularly within the Iranian tradition'}]","[{'id': 'Y0.1ExtYAV.a', 'index': 1}]"
vairiiō,vairiiō,0,[],"[{'id': 'Y0.1ExtYAV.a', 'index': 2}]"
xšnaōϑra,xšnaōϑra,0,[],"[{'id': 'Y0.1Ext.b', 'index': 0}]"
ahurahe,ahurahe,0,[],"[{'id': 'Y0.1Ext.b', 'index': 1}]"
mazdā̊,mazdā̊,0,[],"[{'id': 'Y0.1Ext.b', 'index': 2}]"
aṣ̌əm,aṣ̌əm,0,[],"[{'id': 'Y0.1Ext.b', 'index': 3}, {'id': 'Y0.1AV', 'index': 0}]"
vohī,vohū,1,"[{'type': 'replace', 'from': 'ī', 'to': 'ū', 'str': 'ū for ī', 'is_documented': True, 'description': 'This is a prominent and widespread orthographic and phonological feature in Avestan manuscripts, particularly within the Iranian tradition'}]","[{'id': 'Y0.1AV', 'index': 1}]"
nəmasətē,nəmasətē,0,[],"[{'id': 'Y0.1Ext.c', 'index': 0}]"
ātarš,ātarš,0,[],"[{'id': 'Y0.1Ext.c', 'index': 1}]"
mazdā̊,mazdā̊,0,[],"[{'id': 'Y0.1Ext.c', 'index': 2}]"
ahurahe,ahurahe,0,[],"[{'id': 'Y0.1Ext.c', 'index': 3}, {'id': 'Y0.1Ext.c', 'index': 4}]"
huδā̊,hudā̊,1,"[{'type': 'replace', 'from': 'δ', 'to': 'd', 'str': 'd for δ', 'is_documented': True, 'description': 'Fricativization of d to δ, common initially in Indian manuscripts.'}]","[{'id': 'Y0.1Ext.c', 'index': 5}]"
mazišta,mazišta,0,[],"[{'id': 'Y0.1Ext.c', 'index': 6}]"
yazata,yazata,0,[],"[{'id': 'Y0.1Ext.c', 'index': 7}]"
xšnaōϑra,xšnaōϑra,0,[],"[{'id': 'Y0.1Ext.c', 'index': 8}, {'id': 'Y0.1Ext.c', 'index': 9}]"
ahurahe,ahurahe,0,[],"[{'id': 'Y0.1Ext.c', 'index': 10}]"
mazdā̊,mazdā̊,0,[],"[{'id': 'Y0.1Ext.c', 'index': 11}]"
aṣ̌əm,aṣ̌əm,0,[],"[{'id': 'Y0.1Ext.c', 'index': 12}, {'id': 'Y0.2AV', 'index': 0}]"
vohī,vohū,1,"[{'type': 'replace', 'from': 'ī', 'to': 'ū', 'str': 'ū for ī', 'is_documented': True, 'description': 'This is a prominent and widespread orthographic and phonological feature in Avestan manuscripts, particularly within the Iranian tradition'}]","[{'id': 'Y0.2AV', 'index': 1}]"
frauuarāne,frauuarāne,0,[],"[{'id': 'Y0.3Frauuarane.a', 'index': 0}]"
mazdaiiasnō,mazdaiiasnō,0,[],"[{'id': 'Y0.3Frauuarane.a', 'index': 1}]"
zaraϑuštriš,zaraϑuštriš,0,[],"[{'id': 'Y0.3Frauuarane.a', 'index': 2}]"
vīdaēuuō,vīdaēuuō,0,[],"[{'id': 'Y0.3Frauuarane.a', 'index': 3}]"
ahurat̰kaēšō,ahurat̰kaēšō,0,[],"[{'id': 'Y0.3Frauuarane.a', 'index': 4}]"
hāuuanə̄e,hāuuanə̄e,0,[],"[{'id': 'Y0.3Frauuarane.a', 'index': 5}, {'id': 'Y0.3RatuFra', 'index': 0}]"
aṣ̌aōne,aṣ̌aōne,0,[],"[{'id': 'Y0.3RatuFra', 'index': 1}, {'id': 'Y0.3RatuFra', 'index': 2}]"
aṣ̌ahe,aṣ̌ahe,0,[],"[{'id': 'Y0.3RatuFra', 'index': 3}]"
raϑβe,raϑβe,0,[],"[{'id': 'Y0.3RatuFra', 'index': 4}]"
yasnāica,yasnāica,0,[],"[{'id': 'Y0.3RatuFra', 'index': 5}]"
vahmāica,vaɱāica,2,"[{'type': 'replace', 'from': 'h', 'to': 'ɱ', 'str': 'ɱ for h', 'is_documented': False, 'description': None}, {'type': 'insert', 'to': 'm', 'str': 'm inserted', 'is_documented': True, 'description': 'm can be an inserted anaptyctic vowel as part of consonantal groups involving sonorants (m, n, r)'}]","[{'id': 'Y0.3RatuFra', 'index': 6}, {'id': 'Y0.3RatuFra', 'index': 7}]"
xšnaōϑrāica,xšnaōϑrāica,0,[],"[{'id': 'Y0.3RatuFra', 'index': 8}]"
frasastaiiasta,frasastaiiaēca,2,"[{'type': 'replace', 'from': 'a', 'to': 'aē', 'str': 'aē for a', 'is_documented': False, 'description': None}, {'type': 'replace', 'from': 's', 'to': 'c', 'str': 'c for s', 'is_documented': False, 'description': None}, {'type': 'insert', 'to': 't', 'str': 't inserted', 'is_documented': False, 'description': None}]","[{'id': 'Y0.3RatuFra', 'index': 9}]"
frasastaiiiiaēca,frasastaiiaēca,2,"[{'type': 'insert', 'to': 'ii', 'str': 'ii inserted', 'is_documented': True, 'description': ""In Indian manuscripts, anaptyxis (vowel insertion) is very frequent, especially in consonantal clusters involving sonorants (m, n, r). The usual anaptyctic vowel is a. Examples include sar for sr, man for mn, xaš for xš. Less commonly, ə or i can be inserted in hr clusters. This is influenced by Gujarati's tendency to avoid complex consonant clusters and prefer open syllables.In Iranian manuscripts, syncope (vowel deletion) is frequent, particularly of short vowels in the first syllables of polysyllabic words. This is attributed to the 'allegro' (fast) pronunciation in regions like Yazd. Common positions for syncope include before r (e.g., srəδanąmca for sarəδanąmca), before semivowels (ii, uu), and after h. i deletion is part of this phenomenon.""}]","[{'id': 'Y0.3RatuFra', 'index': 11}, {'id': 'Y0.3RatuFra', 'index': 12}]"
frasastaiiastaiiaēca,frasastaiiaēca,3,"[{'type': 'insert', 'to': 'a', 'str': 'a inserted', 'is_documented': True, 'description': ""In Indian manuscripts, anaptyxis (vowel insertion) is very frequent, especially in consonantal clusters involving sonorants (m, n, r). The usual anaptyctic vowel is a. Examples include sar for sr, man for mn, xaš for xš. Less commonly, ə or i can be inserted in hr clusters. This is influenced by Gujarati's tendency to avoid complex consonant clusters and prefer open syllables.In Iranian manuscripts, syncope (vowel deletion) is frequent, particularly of short vowels in the first syllables of polysyllabic words. This is attributed to the 'allegro' (fast) pronunciation in regions like Yazd. Common positions for syncope include before r (e.g., srəδanąmca for sarəδanąmca), before semivowels (ii, uu), and after h. i deletion is part of this phenomenon.""}, {'type': 'insert', 'to': 's', 'str': 's inserted', 'is_documented': False, 'description': None}, {'type': 'insert', 'to': 't', 'str': 't inserted', 'is_documented': False, 'description': None}, {'type': 'insert', 'to': 'ai', 'str': 'ai inserted', 'is_documented': True, 'description': ""In Indian manuscripts, anaptyxis (vowel insertion) is very frequent, especially in consonantal clusters involving sonorants (m, n, r). The usual anaptyctic vowel is a. Examples include sar for sr, man for mn, xaš for xš. Less commonly, ə or i can be inserted in hr clusters. This is influenced by Gujarati's tendency to avoid complex consonant clusters and prefer open syllables.In Iranian manuscripts, syncope (vowel deletion) is frequent, particularly of short vowels in the first syllables of polysyllabic words. This is attributed to the 'allegro' (fast) pronunciation in regions like Yazd. Common positions for syncope include before r (e.g., srəδanąmca for sarəδanąmca), before semivowels (ii, uu), and after h. i deletion is part of this phenomenon.""}, {'type': 'insert', 'to': 'i', 'str': 'i inserted', 'is_documented': True, 'description': ""In Indian manuscripts, anaptyxis (vowel insertion) is very frequent, especially in consonantal clusters involving sonorants (m, n, r). The usual anaptyctic vowel is a. Examples include sar for sr, man for mn, xaš for xš. Less commonly, ə or i can be inserted in hr clusters. This is influenced by Gujarati's tendency to avoid complex consonant clusters and prefer open syllables.In Iranian manuscripts, syncope (vowel deletion) is frequent, particularly of short vowels in the first syllables of polysyllabic words. This is attributed to the 'allegro' (fast) pronunciation in regions like Yazd. Common positions for syncope include before r (e.g., srəδanąmca for sarəδanąmca), before semivowels (ii, uu), and after h. i deletion is part of this phenomenon.""}]","[{'id': 'Y0.3RatuFra', 'index': 13}]"
