transliterated,reference,distance,features,address
aṣ̌əm,aṣ̌əm,0,[],"[{'id': 'Y0.1AV', 'index': 0}]"
vohū,vohū,0,[],"[{'id': 'Y0.1AV', 'index': 1}]"
aṣ̌əm,aṣ̌əm,0,[],"[{'id': 'Y0.1AV', 'index': 2}, {'id': 'Y0.2AV', 'index': 0}]"
vohū,vohū,0,[],"[{'id': 'Y0.2AV', 'index': 1}]"
frauuarāne,frauuarāne,0,[],"[{'id': 'Y0.2AV', 'index': 2}, {'id': 'Y0.3Frauuarane', 'index': 0}]"
mazdaiiasnō,mazdaiiasnō,0,[],"[{'id': 'Y0.3Frauuarane', 'index': 1}, {'id': 'Y0.3Frauuarane', 'index': 2}]"
zaraϑuštriš,zaraϑuštriš,0,[],"[{'id': 'Y0.3Frauuarane', 'index': 3}]"
vīdaeuuō,vīdaēuuō,1,"[{'type': 'replace', 'from': 'a', 'to': 'aē', 'str': 'aē for a', 'is_documented': False, 'description': None}, {'type': 'insert', 'to': 'e', 'str': 'e inserted', 'is_documented': True, 'description': ""In Indian manuscripts, anaptyxis (vowel insertion) is very frequent, especially in consonantal clusters involving sonorants (m, n, r). The usual anaptyctic vowel is a. Examples include sar for sr, man for mn, xaš for xš. Less commonly, ə or i can be inserted in hr clusters. This is influenced by Gujarati's tendency to avoid complex consonant clusters and prefer open syllables.In Iranian manuscripts, syncope (vowel deletion) is frequent, particularly of short vowels in the first syllables of polysyllabic words. This is attributed to the 'allegro' (fast) pronunciation in regions like Yazd. Common positions for syncope include before r (e.g., srəδanąmca for sarəδanąmca), before semivowels (ii, uu), and after h. i deletion is part of this phenomenon.""}]","[{'id': 'Y0.3Frauuarane', 'index': 4}]"
ahurat̰kaēšō,ahurat̰kaēšō,0,[],"[{'id': 'Y0.3Frauuarane', 'index': 5}, {'id': 'Y0.3Frauuarane', 'index': 6}]"
hāuuanē,hāuuana,1,"[{'type': 'replace', 'from': 'ē', 'to': 'a', 'str': 'a for ē', 'is_documented': False, 'description': None}]","[{'id': 'Y0.3Frauuarane', 'index': 7}, {'id': 'Y0.3RatuFra', 'index': 0}]"
hāuuanə̄ē,hāuuanə̄e,1,"[{'type': 'replace', 'from': 'ē', 'to': 'e', 'str': 'e for ē', 'is_documented': True, 'description': 'While the dominant trend noted is e for ē (shortening) in Indian manuscripts due to recitation habits, especially for final ē'}]","[{'id': 'Y0.3RatuFra', 'index': 1}]"
hāuuanē,hāuuana,1,"[{'type': 'replace', 'from': 'ē', 'to': 'a', 'str': 'a for ē', 'is_documented': False, 'description': None}]","[{'id': 'Y0.3RatuFra', 'index': 2}]"
hāuuanə̄ē,hāuuanə̄e,1,"[{'type': 'replace', 'from': 'ē', 'to': 'e', 'str': 'e for ē', 'is_documented': True, 'description': 'While the dominant trend noted is e for ē (shortening) in Indian manuscripts due to recitation habits, especially for final ē'}]","[{'id': 'Y0.3RatuFra', 'index': 3}]"
aṣ̌aone,aṣ̌aōne,1,"[{'type': 'replace', 'from': 'a', 'to': 'aō', 'str': 'aō for a', 'is_documented': True, 'description': 'In Indian manuscripts, a for aō is a form of monophthongization, though it is relatively less frequent compared to u for aō'}, {'type': 'insert', 'to': 'o', 'str': 'o inserted', 'is_documented': True, 'description': ""In Indian manuscripts, anaptyxis (vowel insertion) is very frequent, especially in consonantal clusters involving sonorants (m, n, r). The usual anaptyctic vowel is a. Examples include sar for sr, man for mn, xaš for xš. Less commonly, ə or i can be inserted in hr clusters. This is influenced by Gujarati's tendency to avoid complex consonant clusters and prefer open syllables.In Iranian manuscripts, syncope (vowel deletion) is frequent, particularly of short vowels in the first syllables of polysyllabic words. This is attributed to the 'allegro' (fast) pronunciation in regions like Yazd. Common positions for syncope include before r (e.g., srəδanąmca for sarəδanąmca), before semivowels (ii, uu), and after h. i deletion is part of this phenomenon.""}]","[{'id': 'Y0.3RatuFra', 'index': 4}]"
ašahe,aṣ̌ahe,1,"[{'type': 'replace', 'from': 'š', 'to': 'ṣ̌', 'str': 'ṣ̌ for š', 'is_documented': True, 'description': 'š used for ṣ̌ (written ṣ̌), common simplification.'}]","[{'id': 'Y0.3RatuFra', 'index': 5}]"
raϑβe,raϑβe,0,[],"[{'id': 'Y0.3RatuFra', 'index': 6}]"
ẏasnāica,yasnāica,1,"[{'type': 'replace', 'from': 'ẏ', 'to': 'y', 'str': 'y for ẏ', 'is_documented': True, 'description': 'Orthographic variation: ẏ used for y in Indian tradition.'}]","[{'id': 'Y0.3RatuFra', 'index': 7}]"
vahmāica,vaɱāica,2,"[{'type': 'replace', 'from': 'h', 'to': 'ɱ', 'str': 'ɱ for h', 'is_documented': False, 'description': None}, {'type': 'insert', 'to': 'm', 'str': 'm inserted', 'is_documented': True, 'description': 'm can be an inserted anaptyctic vowel as part of consonantal groups involving sonorants (m, n, r)'}]","[{'id': 'Y0.3RatuFra', 'index': 8}]"
