transliterated,reference,distance,features,address
xšnōϑra,xšnaōϑra,1.0,"[{'type': 'replace', 'from': 'ō', 'to': 'aō', 'str': 'aō for ō', 'is_documented': True, 'description': 'The monophthongization of diphthongs aē and aō is frequent'}]","[{'id': 'Y0.1Ext.a', 'index': 0}]"
ahurahe,ahurahe,0.0,[],"[{'id': 'Y0.1Ext.a', 'index': 1}]"
mazdā̊,mazdā̊,0.0,[],"[{'id': 'Y0.1Ext.a', 'index': 2}]"
aṣ̌əm,aṣ̌əm,0.0,[],"[{'id': 'Y0.1Ext.a', 'index': 3}, {'id': 'Y0.1ExtAV.a', 'index': 0}]"
vohī,vohū,1.0,"[{'type': 'replace', 'from': 'ī', 'to': 'ū', 'str': 'ū for ī', 'is_documented': True, 'description': 'This is a prominent and widespread orthographic and phonological feature in Avestan manuscripts, particularly within the Iranian tradition'}]","[{'id': 'Y0.1ExtAV.a', 'index': 1}, {'id': 'Y0.1ExtAV.a', 'index': 2}]"
xšnōϑra,xšnaōϑra,1.0,"[{'type': 'replace', 'from': 'ō', 'to': 'aō', 'str': 'aō for ō', 'is_documented': True, 'description': 'The monophthongization of diphthongs aē and aō is frequent'}]","[{'id': 'Y0.1ExtAV.a', 'index': 3}, {'id': 'Y0.1Ext.b', 'index': 0}]"
ahurahe,ahurahe,0.0,[],"[{'id': 'Y0.1Ext.b', 'index': 1}]"
māzdā̊,mazdā̊,1.0,"[{'type': 'replace', 'from': 'ā', 'to': 'a', 'str': 'a for ā', 'is_documented': True, 'description': 'The sources do not describe a systematic orthographic or phonological feature where the short vowel a is lengthened to ā. While there are discussions about the pronunciation of a being more open or closer to e, and the rounding of ā in certain Iranian dialects, these do not indicate a direct substitution of ā for a.'}]","[{'id': 'Y0.1Ext.b', 'index': 2}]"
aṣ̌əm,aṣ̌əm,0.0,[],"[{'id': 'Y0.1Ext.b', 'index': 3}, {'id': 'Y0.1AV', 'index': 0}]"
vohī,vohū,1.0,"[{'type': 'replace', 'from': 'ī', 'to': 'ū', 'str': 'ū for ī', 'is_documented': True, 'description': 'This is a prominent and widespread orthographic and phonological feature in Avestan manuscripts, particularly within the Iranian tradition'}]","[{'id': 'Y0.1AV', 'index': 1}]"
nəmasətē,nəmasətē,0.0,[],"[{'id': 'Y0.1AV', 'index': 2}, {'id': 'Y0.1Ext.c', 'index': 0}, {'id': 'Y0.1Ext.c', 'index': 1}]"
ātarš,ātarš,0.0,[],"[{'id': 'Y0.1Ext.c', 'index': 2}]"
mazdā̊,mazdā̊,0.0,[],"[{'id': 'Y0.1Ext.c', 'index': 3}]"
ahurahe,ahurahe,0.0,[],"[{'id': 'Y0.1Ext.c', 'index': 6}]"
mazdā̊,mazdā̊,0.0,[],"[{'id': 'Y0.1Ext.c', 'index': 7}]"
aṣ̌əm,aṣ̌əm,0.0,[],"[{'id': 'Y0.1Ext.c', 'index': 8}, {'id': 'Y0.2AV', 'index': 0}]"
vohī,vohū,1.0,"[{'type': 'replace', 'from': 'ī', 'to': 'ū', 'str': 'ū for ī', 'is_documented': True, 'description': 'This is a prominent and widespread orthographic and phonological feature in Avestan manuscripts, particularly within the Iranian tradition'}]","[{'id': 'Y0.2AV', 'index': 1}]"
frauuarāne,frauuarāne,0.0,[],"[{'id': 'Y0.2AV', 'index': 2}, {'id': 'Y0.3Frauuarane.a', 'index': 0}]"
mazdaiiasnō,mazdaiiasnō,0.0,[],"[{'id': 'Y0.3Frauuarane.a', 'index': 1}]"
zaraϑūštrəš,zaraϑuštriš,2.0,"[{'type': 'replace', 'from': 'ū', 'to': 'u', 'str': 'u for ū', 'is_documented': False, 'description': None}, {'type': 'replace', 'from': 'ə', 'to': 'i', 'str': 'i for ə', 'is_documented': True, 'description': 'ə used for i, especially in Iranian manuscripts.'}]","[{'id': 'Y0.3Frauuarane.a', 'index': 2}, {'id': 'Y0.3Frauuarane.a', 'index': 3}]"
vīdīuuō,vīdaēuuō,1.0,"[{'type': 'replace', 'from': 'ī', 'to': 'aē', 'str': 'aē for ī', 'is_documented': True, 'description': 'Monophthongizations of aē into ī are relatively frequent in Iranian manuscripts and increase over time'}]","[{'id': 'Y0.3Frauuarane.a', 'index': 4}]"
ahuradkīšō,ahurat̰kaēšō,2.0,"[{'type': 'replace', 'from': 'd', 'to': 't̰', 'str': 't̰ for d', 'is_documented': False, 'description': None}, {'type': 'replace', 'from': 'ī', 'to': 'aē', 'str': 'aē for ī', 'is_documented': True, 'description': 'Monophthongizations of aē into ī are relatively frequent in Iranian manuscripts and increase over time'}]","[{'id': 'Y0.3Frauuarane.a', 'index': 5}]"
hāuuanə̄e,hāuuanə̄e,0.0,[],"[{'id': 'Y0.3Frauuarane.a', 'index': 6}, {'id': 'Y0.3RatuFra', 'index': 0}]"
aṣ̌aōne,aṣ̌aōne,0.0,[],"[{'id': 'Y0.3RatuFra', 'index': 1}]"
aṣ̌ahe,aṣ̌ahe,0.0,[],"[{'id': 'Y0.3RatuFra', 'index': 2}]"
raϑβe,raϑβe,0.0,[],"[{'id': 'Y0.3RatuFra', 'index': 3}]"
āϑrō,āϑrō,0.0,[],"[{'id': 'Y0.3RatuFra', 'index': 4}, {'id': 'Y0.3FireDed', 'index': 0}]"
ahurahe,ahurahe,0.0,[],"[{'id': 'Y0.3FireDed', 'index': 1}]"
mazdā̊,mazdā̊,0.0,[],"[{'id': 'Y0.3FireDed', 'index': 2}]"
puϑra,puϑra,0.0,[],"[{'id': 'Y0.3FireDed', 'index': 3}]"
tauua,tauua,0.0,[],"[{'id': 'Y0.3FireDed', 'index': 4}]"
ātarš,ātarš,0.0,[],"[{'id': 'Y0.3FireDed', 'index': 5}]"
puϑra,puϑra,0.0,[],"[{'id': 'Y0.3FireDed', 'index': 6}]"
xsnōϑra,xšnaōϑra,2.0,"[{'type': 'replace', 'from': 's', 'to': 'š', 'str': 'š for s', 'is_documented': False, 'description': None}, {'type': 'replace', 'from': 'ō', 'to': 'aō', 'str': 'aō for ō', 'is_documented': True, 'description': 'The monophthongization of diphthongs aē and aō is frequent'}]","[{'id': 'Y0.3FireDed', 'index': 7}]"
yasnāica,yasnāica,0.0,[],"[{'id': 'Y0.3FireDed', 'index': 8}, {'id': 'Y0.3FireDed', 'index': 9}]"
vahmāica,vaɱāica,2.0,"[{'type': 'replace', 'from': 'h', 'to': 'ɱ', 'str': 'ɱ for h', 'is_documented': False, 'description': None}, {'type': 'insert', 'to': 'm', 'str': 'm inserted', 'is_documented': True, 'description': 'm can be an inserted anaptyctic vowel as part of consonantal groups involving sonorants (m, n, r)'}]","[{'id': 'Y0.3FireDed', 'index': 10}]"
xšnōϑrāica,xšnaōϑrāica,1.0,"[{'type': 'replace', 'from': 'ō', 'to': 'aō', 'str': 'aō for ō', 'is_documented': True, 'description': 'The monophthongization of diphthongs aē and aō is frequent'}]","[{'id': 'Y0.3FireDed', 'index': 11}]"
frastaiiaēca,frasastaiiaēca,3.0,"[{'type': 'delete', 'from': 'a', 'str': 'a deleted', 'is_documented': True, 'description': ""In Indian manuscripts, anaptyxis (vowel insertion) is very frequent, especially in consonantal clusters involving sonorants (m, n, r). The usual anaptyctic vowel is a. Examples include sar for sr, man for mn, xaš for xš. Less commonly, ə or i can be inserted in hr clusters. This is influenced by Gujarati's tendency to avoid complex consonant clusters and prefer open syllables.In Iranian manuscripts, syncope (vowel deletion) is frequent, particularly of short vowels in the first syllables of polysyllabic words. This is attributed to the 'allegro' (fast) pronunciation in regions like Yazd. Common positions for syncope include before r (e.g., srəδanąmca for sarəδanąmca), before semivowels (ii, uu), and after h. i deletion is part of this phenomenon.""}, {'type': 'delete', 'from': 's', 'str': 's deleted', 'is_documented': False, 'description': None}]","[{'id': 'Y0.3FireDed', 'index': 12}]"
tauua,tauua,0.0,[],"[{'id': 'Y0.3FireDed', 'index': 14}, {'id': 'Y0.3FireDedF', 'index': 0}]"
ātarš,ātarš,0.0,[],"[{'id': 'Y0.3FireDedF', 'index': 1}]"
puϑra,puϑra,0.0,[],"[{'id': 'Y0.3FireDedF', 'index': 2}]"
ahurahe,ahurahe,0.0,[],"[{'id': 'Y0.3FireDedF', 'index': 3}]"
mazdā̊,mazdā̊,0.0,[],"[{'id': 'Y0.3FireDedF', 'index': 4}]"
xšnōϑra,xšnaōϑra,1.0,"[{'type': 'replace', 'from': 'ō', 'to': 'aō', 'str': 'aō for ō', 'is_documented': True, 'description': 'The monophthongization of diphthongs aē and aō is frequent'}]","[{'id': 'Y0.3FireDedF', 'index': 5}]"
yasnāica,yasnāica,2.0,[],"[{'id': 'Y0.3FireDedF', 'index': 6}]"
